Genre,Artist,Track Name,Full Multitrack Link,Excerpt Multitrack Link,Number of Tracks (Excerpt),Number of Tracks (Full),Full Mix Preview,Excerpt Mix Preview,Unmastered WAV,Forum Link,Podcast Link
Acoustic / Jazz / Country / Orchestral,Eddie Garrido,'Una Semana Sin Ti',https://mtkdata.cambridgemusictechnology.co.uk/MTK021/EddieGarrido_UnaSemanaSinTi_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK021/EddieGarrido_UnaSemanaSinTi.zip,9,10,https://previews.cambridge-mt.com/UnaSemanaSinTi_Full_Preview.mp3,https://previews.cambridge-mt.com/UnaSemanaSinTi_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=739,
Acoustic / Jazz / Country / Orchestral,Eddie Garrido,'Scarlett',https://mtkdata.cambridgemusictechnology.co.uk/MTK020/EddieGarrido_Scarlett_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK020/EddieGarrido_Scarlett.zip,13,23,https://previews.cambridge-mt.com/Scarlett_Full_Preview.mp3,https://previews.cambridge-mt.com/Scarlett_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=548,
Acoustic / Jazz / Country / Orchestral,Enda Reilly,'An Nasc Nua',https://mtkdata.cambridgemusictechnology.co.uk/MTK007/EndaReilly_AnNascNua_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/EndaReilly_AnNascNua.zip,11,19,https://previews.cambridge-mt.com/AnNascNua_Full_Preview.mp3,https://previews.cambridge-mt.com/AnNascNua_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=256,
Acoustic / Jazz / Country / Orchestral,Enda Reilly,'Cur An Long Ag Seol',https://mtkdata.cambridgemusictechnology.co.uk/MTK007/EndaReilly_CurAnLongAgSeol_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/EndaReilly_CurAnLongAgSeol.zip,11,12,https://previews.cambridge-mt.com/CurAnLongAgSeol_Full_Preview.mp3,https://previews.cambridge-mt.com/CurAnLongAgSeol_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=242,
Acoustic / Jazz / Country / Orchestral,Ethan Winer,'Cello Concerto in A Minor',https://mtkdata.cambridgemusictechnology.co.uk/MTK017/EthanWiner_CelloConcerto_Full.zip,,,20,https://previews.cambridge-mt.com/CelloConcerto_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=704,
Acoustic / Jazz / Country / Orchestral,FriendZWorldMusic,'Triba/Bao Kuku',https://multitracks.cambridge-mt.com/FriendzWorldMusic_Triba-Bao-Kuku_Full.zip,,,16,https://previews.cambridge-mt.com/Triba-Bao-Kuku_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=943,
Acoustic / Jazz / Country / Orchestral,The Funny Valentines,'Sleigh Ride',https://mtkdata.cambridgemusictechnology.co.uk/MTK007/FunnyValentines_SleighRide_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/FunnyValentines_SleighRide.zip,7,7,https://previews.cambridge-mt.com/SleighRide_Full_Preview.mp3,https://previews.cambridge-mt.com/SleighRide_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=239,
Acoustic / Jazz / Country / Orchestral,Ghostly Beard,'A Reason To Leave',https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_AReasonToLeave_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_AReasonToLeave.zip,30,38,https://previews.cambridge-mt.com/AReasonToLeave_Full_Preview.mp3,https://previews.cambridge-mt.com/AReasonToLeave_Preview.mp3,https://previews.cambridge-mt.com/AReasonToLeave_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=280,
Acoustic / Jazz / Country / Orchestral,Ghostly Beard,'Blue',https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_Blue_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_Blue.zip,18,23,https://previews.cambridge-mt.com/Blue_Full_Preview.mp3,https://previews.cambridge-mt.com/Blue_Preview.mp3,https://previews.cambridge-mt.com/Blue_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=270,
Acoustic / Jazz / Country / Orchestral,Ghostly Beard,'Fool',https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_Fool_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_Fool.zip,15,26,https://previews.cambridge-mt.com/Fool_Full_Preview.mp3,https://previews.cambridge-mt.com/Fool_Preview.mp3,https://previews.cambridge-mt.com/Fool_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=291,
